aX,aY,aZ,gX,gY,gZ
-0.011,1.044,1.152,-172.180,130.798,102.051
-0.071,1.136,1.003,-146.057,207.397,83.862
-0.204,1.158,0.811,-118.591,283.630,56.824
-0.339,1.120,0.603,-94.421,352.417,27.527
-0.482,1.059,0.370,-63.416,410.400,2.991
-0.671,0.997,0.176,-57.861,455.688,-16.418
-0.813,0.950,-0.016,-49.927,489.563,-30.334
-0.938,0.929,-0.188,-49.377,515.686,-38.574
-1.046,0.921,-0.355,-53.223,536.133,-45.776
-1.145,0.928,-0.518,-57.251,550.537,-52.856
-1.221,0.954,-0.670,-67.688,561.890,-60.669
-1.297,0.989,-0.832,-72.388,578.186,-71.472
-1.393,1.020,-1.007,-67.749,600.586,-85.388
-1.556,1.045,-1.190,-56.946,626.160,-101.379
-1.747,1.074,-1.390,-40.588,653.992,-115.906
-1.912,1.118,-1.587,-30.151,676.941,-127.625
-1.965,1.172,-1.778,-26.672,677.856,-139.343
-1.968,1.207,-1.907,-41.992,651.978,-153.931
-1.909,1.227,-1.971,-66.589,606.079,-175.476
-1.780,1.212,-2.104,-40.833,561.157,-203.918
-1.592,1.184,-2.228,-5.798,507.751,-229.675
-1.453,1.120,-2.295,-0.305,437.683,-250.549
-1.384,1.016,-2.314,-9.521,356.873,-266.968
-1.312,0.898,-2.312,-22.095,274.170,-275.452
-1.194,0.800,-2.302,-37.048,192.383,-273.437
-1.096,0.708,-2.266,-55.969,107.910,-264.404
-0.994,0.623,-2.186,-80.322,21.118,-251.587
-0.857,0.553,-2.073,-105.652,-65.491,-235.352
-0.768,0.497,-1.917,-129.211,-150.696,-218.689
-0.705,0.454,-1.728,-142.090,-230.103,-203.125
-0.693,0.420,-1.504,-151.428,-298.950,-188.599
-0.631,0.398,-1.286,-153.931,-352.173,-173.645
-0.534,0.373,-1.089,-148.804,-390.869,-160.645
-0.435,0.335,-0.908,-143.616,-418.945,-150.330
-0.339,0.299,-0.720,-141.479,-439.636,-140.930
-0.277,0.256,-0.550,-135.498,-451.050,-132.507
-0.202,0.224,-0.410,-124.268,-454.163,-123.657
-0.105,0.201,-0.295,-113.037,-448.914,-113.037
0.039,0.186,-0.193,-104.065,-439.453,-102.173
0.144,0.161,-0.097,-93.994,-429.260,-91.980
0.263,0.120,-0.036,-85.388,-422.119,-82.458
0.339,0.094,0.095,-116.272,-423.523,-71.838
0.391,0.074,0.248,-159.668,-421.997,-54.504
0.430,0.058,0.359,-162.231,-408.936,-31.677
0.506,0.075,0.464,-168.579,-387.939,-6.653
0.566,0.112,0.569,-185.303,-361.328,17.395
0.638,0.152,0.647,-189.819,-327.271,37.903
0.694,0.171,0.707,-189.453,-293.701,50.476
0.711,0.174,0.790,-202.698,-267.517,55.786
0.686,0.166,0.899,-228.577,-244.995,58.838
0.644,0.167,1.012,-258.118,-215.332,62.744
0.580,0.173,1.101,-274.048,-174.255,68.359
0.511,0.189,1.161,-278.076,-121.216,73.181
0.465,0.227,1.199,-275.024,-60.669,77.148
0.412,0.269,1.201,-264.832,8.179,76.965
0.322,0.319,1.183,-244.995,81.299,70.557
0.230,0.373,1.126,-213.074,161.133,59.448
0.122,0.387,0.973,-165.833,249.756,43.518
-0.049,0.336,0.751,-115.051,339.294,22.705
-0.201,0.262,0.524,-68.237,424.072,1.465
-0.443,0.190,0.297,-11.963,505.859,-11.658
-0.743,0.133,0.061,48.035,586.792,-14.587
-1.080,0.103,-0.196,108.032,662.964,-5.066
-1.447,0.107,-0.467,157.227,729.553,18.066
-1.770,0.173,-0.739,190.491,781.616,54.077
-2.036,0.287,-1.056,215.942,815.430,98.755
-2.192,0.454,-1.357,216.675,828.125,144.104
-2.315,0.657,-1.650,191.040,810.974,181.946
-2.355,0.903,-1.932,161.194,772.339,211.914
-2.269,1.168,-2.174,134.033,715.515,225.464
-2.169,1.406,-2.398,120.850,642.761,217.163
-1.991,1.605,-2.604,114.746,556.702,189.087
-1.846,1.738,-2.760,103.455,451.721,145.325
-1.778,1.802,-2.830,83.923,332.397,94.055

-1.646,1.720,-2.781,76.355,91.492,-33.020
-1.494,1.504,-2.637,80.383,-23.865,-101.929
-1.408,1.226,-2.348,65.125,-143.616,-157.715
-1.481,0.936,-1.980,41.077,-258.911,-192.871
-1.583,0.686,-1.627,14.526,-361.206,-201.843
-1.648,0.523,-1.290,-8.789,-427.673,-188.904
-1.651,0.425,-1.049,-23.193,-460.571,-163.025
-1.602,0.420,-0.848,-39.490,-474.487,-128.357
-1.410,0.504,-0.725,-46.265,-472.046,-90.210
-1.172,0.625,-0.627,-46.936,-466.858,-60.669
-1.003,0.714,-0.550,-36.072,-467.651,-46.326
-0.904,0.777,-0.461,-27.039,-473.572,-41.199
-0.833,0.825,-0.354,-26.184,-478.821,-40.100
-0.763,0.860,-0.259,-19.043,-478.943,-42.786
-0.728,0.866,-0.168,-5.737,-473.022,-47.485
-0.567,0.891,-0.098,17.578,-461.487,-54.626
-0.444,0.898,-0.043,21.973,-452.026,-66.467
-0.289,0.912,0.044,6.165,-449.158,-78.918
-0.171,0.880,0.150,-6.775,-450.134,-95.703
-0.084,0.809,0.261,-4.822,-449.829,-114.197
-0.007,0.713,0.379,-4.395,-446.960,-131.287
0.062,0.603,0.500,-10.132,-440.613,-145.020
0.124,0.489,0.617,-19.958,-429.199,-152.283
0.187,0.377,0.739,-36.499,-412.720,-153.015
0.240,0.278,0.870,-56.580,-388.733,-147.156
0.340,0.197,0.977,-68.542,-353.638,-133.789
0.452,0.134,1.065,-74.585,-309.387,-116.150
0.553,0.087,1.138,-79.102,-261.230,-96.680
0.596,0.035,1.198,-85.022,-212.280,-77.820
0.621,0.011,1.261,-101.257,-162.659,-56.885
0.630,0.023,1.306,-114.441,-107.422,-31.494
0.612,0.073,1.324,-115.723,-45.898,-5.310
0.577,0.149,1.306,-111.328,20.325,14.648
0.518,0.214,1.253,-100.037,87.463,25.818
0.435,0.245,1.163,-89.233,151.489,28.625
0.342,0.229,1.054,-82.703,210.815,25.757
0.252,0.207,0.940,-77.881,264.832,23.254
0.147,0.167,0.787,-63.354,318.604,21.912
0.003,0.128,0.652,-50.720,369.324,19.104
-0.201,0.082,0.494,-24.475,419.922,17.334
-0.432,0.051,0.314,9.827,472.595,23.621
-0.676,0.051,0.126,41.138,526.978,39.429
-0.943,0.104,-0.079,68.970,585.632,65.918
-1.250,0.201,-0.326,99.121,646.179,99.487
-1.559,0.348,-0.603,117.126,701.904,136.780
-1.867,0.528,-0.893,117.920,744.934,173.401
-2.114,0.740,-1.186,105.103,769.897,202.271
-2.315,0.966,-1.461,80.200,776.672,214.905
-2.466,1.194,-1.720,49.866,761.841,216.370
-2.596,1.408,-1.972,27.100,731.750,203.125
-2.623,1.606,-2.222,17.639,688.049,175.720
-2.596,1.782,-2.441,16.418,628.906,135.315
-2.433,1.932,-2.660,26.917,551.941,83.252
-2.212,2.039,-2.827,32.532,453.552,21.057
-1.953,2.072,-2.950,30.518,336.304,-49.561
-1.821,1.985,-2.946,16.479,197.632,-124.573
-1.839,1.740,-2.804,-3.540,48.279,-194.458
-1.797,1.452,-2.548,-37.964,-96.741,-247.009
-1.742,1.185,-2.211,-78.186,-233.032,-279.053
-1.744,0.939,-1.825,-107.849,-354.797,-294.128
-1.814,0.733,-1.455,-126.526,-460.999,-292.969
-1.787,0.605,-1.123,-139.465,-522.583,-277.344
-1.686,0.534,-0.860,-144.592,-561.218,-252.747
-1.499,0.511,-0.632,-151.306,-578.308,-226.562
-1.227,0.506,-0.450,-141.846,-580.688,-204.956
-0.960,0.492,-0.295,-118.042,-578.308,-192.627
-0.735,0.458,-0.154,-90.515,-572.998,-188.538
-0.571,0.406,-0.021,-68.115,-563.904,-187.500
-0.444,0.357,0.103,-54.871,-552.002,-184.692
-0.308,0.302,0.199,-49.072,-537.720,-179.993
-0.162,0.264,0.317,-63.721,-525.635,-174.194
-0.025,0.220,0.449,-85.144,-513.000,-168.945
0.082,0.155,0.562,-85.083,-496.216,-165.955
0.177,0.082,0.684,-88.196,-474.670,-164.246
